GEOID,NEGATIVE,POSITIVE,DEATHS,DATE
55025000100,36,0,0,2020/04/11 14:00:00+00
55025000201,30,0,0,2020/04/11 14:00:00+00
55025000202,19,0,0,2020/04/11 14:00:00+00
55025000204,58,0,0,2020/04/11 14:00:00+00
55025000205,49,6,0,2020/04/11 14:00:00+00
55025000300,80,0,0,2020/04/11 14:00:00+00
55025000401,35,0,0,2020/04/11 14:00:00+00
55025000402,22,0,0,2020/04/11 14:00:00+00
55025000405,62,0,0,2020/04/11 14:00:00+00
55025000406,35,0,0,2020/04/11 14:00:00+00
55025000407,65,5,0,2020/04/11 14:00:00+00
55025000408,37,6,0,2020/04/11 14:00:00+00
55025000501,51,0,0,2020/04/11 14:00:00+00
55025000503,73,7,0,2020/04/11 14:00:00+00
55025000504,62,0,0,2020/04/11 14:00:00+00
55025000600,53,7,0,2020/04/11 14:00:00+00
55025000700,50,0,0,2020/04/11 14:00:00+00
55025000800,40,8,0,2020/04/11 14:00:00+00
55025000901,18,0,0,2020/04/11 14:00:00+00
55025000902,63,0,0,2020/04/11 14:00:00+00
55025001000,33,0,0,2020/04/11 14:00:00+00
55025001101,13,0,0,2020/04/11 14:00:00+00
55025001102,0,0,0,2020/04/11 14:00:00+00
55025001200,69,0,0,2020/04/11 14:00:00+00
55025001300,28,0,0,2020/04/11 14:00:00+00
55025001401,61,0,0,2020/04/11 14:00:00+00
55025001402,56,0,0,2020/04/11 14:00:00+00
55025001403,94,0,0,2020/04/11 14:00:00+00
55025001501,21,0,0,2020/04/11 14:00:00+00
55025001502,66,5,0,2020/04/11 14:00:00+00
55025001603,13,7,0,2020/04/11 14:00:00+00
55025001604,13,0,0,2020/04/11 14:00:00+00
55025001605,22,0,0,2020/04/11 14:00:00+00
55025001606,10,0,0,2020/04/11 14:00:00+00
55025001704,35,0,0,2020/04/11 14:00:00+00
55025001705,42,0,0,2020/04/11 14:00:00+00
55025001802,22,0,0,2020/04/11 14:00:00+00
55025001804,49,0,0,2020/04/11 14:00:00+00
55025001900,82,5,0,2020/04/11 14:00:00+00
55025002000,59,0,0,2020/04/11 14:00:00+00
55025002100,60,6,0,2020/04/11 14:00:00+00
55025002200,46,0,0,2020/04/11 14:00:00+00
55025002301,33,0,0,2020/04/11 14:00:00+00
55025002302,68,0,0,2020/04/11 14:00:00+00
55025002401,21,0,0,2020/04/11 14:00:00+00
55025002402,45,0,0,2020/04/11 14:00:00+00
55025002500,30,0,0,2020/04/11 14:00:00+00
55025002601,16,0,0,2020/04/11 14:00:00+00
55025002602,53,0,0,2020/04/11 14:00:00+00
55025002603,71,0,0,2020/04/11 14:00:00+00
55025002700,38,0,0,2020/04/11 14:00:00+00
